Year	Flux	Count_obs	Flux_per_err
1980	 8049425.44	11	25.203656
1981	 1363505.91	 5	16.637441
1982	21508297.76	 6	23.657902
1983	23735981.66	 4	35.229784
1984	32312332.15	 4	20.662779
1985	 4602362.98	 4	17.989369
1986	25345574.30	 4	16.195226
1987	24395324.55	 4	20.143493
1988	 2442551.28	 6	54.920051
1989	 4620265.08	 5	72.256835
1990	10031360.24	 7	59.603556
1991	11492806.92	 6	23.827176
1992	10757862.69	 4	37.358424
1993	33305723.32	 4	18.148115
1994	 7410181.97	 0	      NaN
1995	14845624.06	 0	      NaN
1996	14807443.49	 0	      NaN
1997	12558467.56	 0	      NaN
1998	23282965.02	 1	17.272917
1999	19142189.67	 0	      NaN
2000	 2367688.65	 0	      NaN
2001	10761084.31	 0	      NaN
2002	 2367150.57	 0	      NaN
2003	 4348840.20	 0	      NaN
2004	11807828.92	12	10.926110
2005	 7963627.99	12	16.328516
2006	 3267129.60	13	18.961818
2007	27698063.84	12	14.374830
2008	29211584.67	10	14.499090
2009	13560612.54	10	 8.382557
2010	35520564.03	10	13.547828
2011	14277547.87	13	12.933070
2012	 6431937.83	12	23.092965
2013	11973365.29	12	21.270560
2014	20609158.16	 9	24.179383
