STAID,LAT_GAGE,LNG_GAGE
01011000,47.069611,-69.079544
01013500,47.237394,-68.582642
01015800,46.523003,-68.371764
01016500,46.628311,-68.434792
01017000,46.777294,-68.157194
01017060,46.783611,-67.989167
01017290,46.888610,-67.945000
01017550,46.628056,-67.953056
01017960,46.105000,-67.881389
01018000,46.104917,-67.866631
01018009,46.115280,-67.840280
01019000,45.172522,-67.768800
01021200,44.901489,-67.247619
01021470,44.800833,-67.725000
01021480,44.936944,-67.736111
01021500,44.722994,-67.520478
01022260,44.697778,-67.787222
01022330,44.740833,-68.013333
01022500,44.607972,-67.935242
01023000,44.840239,-68.372017
01027200,45.935278,-69.993611
01029200,46.143056,-68.633611
01029500,45.730267,-68.589486
01030000,45.566333,-68.403664
01030500,45.500975,-68.305956
01031300,45.267222,-69.583889
01031450,45.184444,-69.452222
01031500,45.175008,-69.314697
01031510,45.150278,-69.236389
01033000,45.270256,-69.111733
01033500,45.282578,-69.003439
01034000,45.260611,-68.868614
01034500,45.236175,-68.651383
01035000,45.183936,-68.474425
01036500,44.897144,-68.883683
01037380,44.329167,-69.060833
01038000,44.222778,-69.593758
01041000,45.584850,-69.716964
01042500,45.339708,-69.962058
01043500,45.230458,-70.199836
01044550,45.313611,-70.241667
01045000,45.349056,-69.990189
01046000,45.065186,-69.880767
01046500,45.052050,-69.885506
01047000,44.869200,-69.955103
01047150,44.778889,-69.886944
01047200,44.857778,-70.485278
01048000,44.708169,-69.937592
01048220,44.947500,-69.656944
01049000,44.716778,-69.413819
01049265,44.472339,-69.683989
01049500,44.229097,-69.778047
01052500,44.877394,-71.057494
01053500,44.782558,-71.128686
01053600,44.666111,-71.181389
01054000,44.435792,-71.190178
01054200,44.390444,-70.979644
01054300,44.593242,-70.733017
01054500,44.551814,-70.544067
01055000,44.642747,-70.588783
01055500,44.269506,-70.229606
01057000,44.303992,-70.539681
01058500,44.063872,-70.274069
01059000,44.072297,-70.208014
01059800,43.917894,-70.316597
01060000,43.799150,-70.178269
01064000,43.817528,-70.449936
01064118,43.686997,-70.347136
01064300,44.218956,-71.249240
01064400,44.070347,-71.172849
01064500,43.990842,-71.090478
01064801,43.830074,-71.287849
01065000,43.795075,-71.059234
01065500,43.807708,-70.797578
01066000,43.808039,-70.781539
01066500,43.689436,-70.670556
01067950,43.432220,-70.553330
01068910,43.418330,-70.738060
01069500,43.418342,-70.658317
01069700,43.379170,-70.583330
01072500,43.328108,-70.927139
01072800,43.268415,-70.973674
01072870,43.234800,-70.956450
01073000,43.148696,-70.965060
01073319,43.042307,-71.200618
01073500,43.102586,-70.952559
010735562,42.948980,-71.164780
01073587,42.984532,-71.038392
01073600,42.993143,-71.021725
01073785,43.036755,-70.848110
01074520,44.047567,-71.659803
01075000,43.976179,-71.679524
01075800,43.836181,-71.885361
01076000,43.795626,-71.845359
01076500,43.759239,-71.685634
01077000,43.705351,-71.629799
