HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
10130204,0.00,11829600.00,0.00,141209100.00,8488800.00,541800.00,77400.00,3159000.00,9652500.00,1141200.00,324900.00,10259100.00,1387636200.00,574754400.00,2046508200.00,31587300.00,7363800.00,4234533300.00,4234533300.00,0.00,3.55,0.26,61.90,0.28,0.00,3.33,0.20,0.01,0.00,0.07,0.23,0.03,0.01,0.24,32.77,13.57,48.33,0.75,0.17,Within USA
10130206,0.00,9595800.00,0.00,37148400.00,922500.00,113400.00,10800.00,2421900.00,13591800.00,410400.00,220500.00,2619900.00,1785178800.00,78428700.00,358060500.00,20536200.00,8024400.00,2317284000.00,2317284000.00,0.00,1.65,0.61,18.84,0.41,0.00,1.60,0.04,0.00,0.00,0.10,0.59,0.02,0.01,0.11,77.04,3.38,15.45,0.89,0.35,Within USA
10160001,0.00,123796800.00,0.00,192315600.00,11771100.00,2190600.00,386100.00,247500.00,11639700.00,1316700.00,0.00,4500.00,376254900.00,783478800.00,2622526200.00,8838900.00,261828000.00,4396595400.00,4396595400.00,0.00,4.70,0.29,77.47,2.82,0.00,4.37,0.27,0.05,0.01,0.01,0.26,0.03,0.00,0.00,8.56,17.82,59.65,0.20,5.96,Within USA
10160002,0.00,196376400.00,0.00,96526800.00,4464900.00,1334700.00,21600.00,291600.00,7776000.00,248400.00,0.00,6300.00,750419100.00,374737500.00,1180214100.00,5526900.00,154549800.00,2772494100.00,2772494100.00,0.00,3.69,0.29,56.08,7.08,0.00,3.48,0.16,0.05,0.00,0.01,0.28,0.01,0.00,0.00,27.07,13.52,42.57,0.20,5.57,Within USA
09010002,69445800.00,53259300.00,0.00,118376100.00,16530300.00,1382400.00,225000.00,749700.00,17497800.00,0.00,0.00,0.00,566374500.00,17910900.00,1812916800.00,2861100.00,72459000.00,2749988700.00,2685670378.67,2.53,5.08,0.65,68.17,1.98,0.00,4.41,0.62,0.05,0.01,0.03,0.65,0.00,0.00,0.00,21.09,0.67,67.50,0.11,2.70,Border - Canada
09010004,190006200.00,295990200.00,0.00,187161300.00,16383600.00,2700000.00,465300.00,1429200.00,381240900.00,1246500.00,0.00,20700.00,1114263000.00,269124300.00,1863349200.00,12171600.00,310612500.00,4646164500.00,4464138749.67,4.09,4.63,8.57,47.77,6.63,0.00,4.19,0.37,0.06,0.01,0.03,8.54,0.03,0.00,0.00,24.96,6.03,41.74,0.27,6.96,Border - Canada
09010007,7401021300.00,11435400.00,0.00,26376300.00,6256800.00,333000.00,8100.00,7285500.00,5222700.00,0.00,0.00,18900.00,242609400.00,26281800.00,433910700.00,893700.00,27425700.00,8189079300.00,789273132.79,90.38,4.18,0.66,58.31,1.45,0.00,3.34,0.79,0.04,0.00,0.92,0.66,0.00,0.00,0.00,30.74,3.33,54.98,0.11,3.47,Border - Canada
09010008,3893283000.00,72603000.00,0.00,135606600.00,32367600.00,10123200.00,3375000.00,508500.00,23882400.00,365400.00,0.00,0.00,540918900.00,92642400.00,1915928100.00,15438600.00,105741000.00,6842783700.00,2953678018.32,56.90,6.14,0.82,68.00,2.46,0.00,4.59,1.10,0.34,0.11,0.02,0.81,0.01,0.00,0.00,18.31,3.14,64.87,0.52,3.58,Border - Canada
09020316,2719655100.00,40386600.00,0.00,161020800.00,12378600.00,3288600.00,596700.00,218700.00,141552000.00,10737000.00,18000.00,84600.00,112973400.00,131821200.00,3024794700.00,75979800.00,124189200.00,6559695000.00,3838772186.32,41.46,4.62,3.97,82.23,1.05,0.00,4.19,0.32,0.09,0.02,0.01,3.69,0.28,0.00,0.00,2.94,3.43,78.80,1.98,3.24,Border - Canada
10060007,734235300.00,74142900.00,0.00,68042700.00,1367100.00,162000.00,30600.00,5125500.00,297000.00,16200.00,13500.00,31773600.00,715181400.00,2916900.00,971886600.00,1088100.00,35234100.00,2641513500.00,2647054778.27,27.80,2.63,0.01,36.83,2.80,0.00,2.57,0.05,0.01,0.00,0.19,0.01,0.00,0.00,1.20,27.02,0.11,36.72,0.04,1.33,Border - Canada
09020107,0.00,18691200.00,0.00,129637800.00,14151600.00,1917000.00,284400.00,62100.00,27047700.00,792900.00,559800.00,192600.00,3739500.00,20360700.00,2562391800.00,36317700.00,22111200.00,2838258000.00,2838258000.00,0.00,5.14,1.00,91.00,0.66,0.00,4.57,0.50,0.07,0.01,0.00,0.95,0.03,0.02,0.01,0.13,0.72,90.28,1.28,0.78,Within USA
10110203,0.00,28514700.00,0.00,74295900.00,7798500.00,279900.00,9900.00,75302100.00,165528000.00,84342600.00,23733900.00,616036500.00,3536973900.00,143935200.00,827181900.00,35468100.00,8854200.00,5628255300.00,5628255300.00,0.00,1.46,4.86,17.25,0.51,0.00,1.32,0.14,0.00,0.00,1.34,2.94,1.50,0.42,10.95,62.84,2.56,14.70,0.63,0.16,Within USA
09020105,0.00,198409500.00,0.00,229348800.00,21104100.00,8170200.00,1172700.00,2892600.00,68211000.00,546300.00,0.00,434700.00,527713200.00,510835500.00,3886958700.00,29241900.00,308154600.00,5793193800.00,5793193800.00,0.00,4.48,1.19,75.91,3.42,0.00,3.96,0.36,0.14,0.02,0.05,1.18,0.01,0.00,0.01,9.11,8.82,67.10,0.50,5.32,Within USA
10130205,0.00,11959200.00,0.00,130530600.00,6223500.00,435600.00,74700.00,2158200.00,6545700.00,809100.00,233100.00,8889300.00,1963125900.00,691737300.00,1766673000.00,33551100.00,3231900.00,4626178200.00,4626178200.00,0.00,2.97,0.16,53.14,0.26,0.00,2.82,0.13,0.01,0.00,0.05,0.14,0.02,0.01,0.19,42.44,14.95,38.19,0.73,0.07,Within USA
